class_id,name,country,role,year,speed,range,crew,fleet,desc,img
A1,SU-35,rus,Air Superiority Fighter,2014,Mach 2.25,3600 km,1,110,"Sukhoi Su-35 is a deeply modernized derivative of the Su-27 platform, designed for air superiority and multirole missions. It features thrust-vectoring engines, advanced Irbis-E radar, and improved avionics, enabling extreme maneuverability and long-range engagement. Classified as a 4++ generation fighter, it bridges the gap toward fifth-generation capabilities without full stealth design.",https://upload.wikimedia.org/wikipedia/commons/e/ec/Russian_Air_Force%2C_RF-81719%2C_Sukhoi_Su-35S_%2849581740157%29.jpg
A2,C-130,USA,Transport,1956,540 km/h,3800 km,5,300,"Lockheed C-130 Hercules is a versatile tactical transport aircraft capable of operating from short and unprepared runways. It is widely used for cargo transport, troop deployment, medical evacuation, and special operations. Its adaptability has led to numerous variants including gunships and firefighting aircraft.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Lockheed_C-130_Hercules.jpg/960px-Lockheed_C-130_Hercules.jpg
A3,C-17,USA,Strategic Transport,1995,830 km/h,10400 km,3,220,"Boeing C-17 Globemaster III is a strategic airlifter designed for rapid deployment of troops and heavy equipment worldwide. It combines high payload capacity with the ability to operate on short runways, making it essential for both military logistics and humanitarian missions.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/C-17_test_sortie.jpg/1920px-C-17_test_sortie.jpg
A4,C-5,USA,Heavy Transport,1970,920 km/h,8900 km,7,52,"Lockheed C-5 Galaxy is one of the largest military transport aircraft in the world. It is capable of carrying oversized cargo, including tanks and helicopters, across intercontinental distances. Its distinctive nose-loading system enables rapid loading operations.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/USAF_C-5_Galaxy_in_flight.jpg/960px-USAF_C-5_Galaxy_in_flight.jpg
A5,F-16,USA,Multirole Fighter,1978,Mach 2.0,4200 km,1,900,"F-16 Fighting Falcon is a highly maneuverable multirole fighter widely used by NATO and allied countries. It was one of the first aircraft to use fly-by-wire control systems and remains a backbone of many air forces due to its versatility and cost-effectiveness.",https://uk.wikipedia.org/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:An_F-16_Fighting_Falcon_departs_after_being_refueled_by_a_KC-135_Stratotanker_(28404467963).jpg
A6,TU-160,rus,Strategic Bomber,1987,Mach 2.05,12300 km,4,17,"Tupolev Tu-160 is the largest and fastest supersonic strategic bomber in service. It features variable-sweep wings and is capable of carrying nuclear and conventional cruise missiles over intercontinental distances.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Tupolev_Tu-160_in_1997.jpg/960px-Tupolev_Tu-160_in_1997.jpg
A7,E-3,USA,AWACS,1977,850 km/h,7400 km,20,30,"E-3 Sentry is an airborne early warning and control aircraft equipped with a rotating radar dome. It provides long-range surveillance, command, and control functions for air operations.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Boeing_E-3B_Sentry_USAF_AN0996110.jpg/960px-Boeing_E-3B_Sentry_USAF_AN0996110.jpg
A8,B-52,USA,Strategic Bomber,1955,Mach 0.86,14000 km,5,76,"B-52 Stratofortress is a long-range subsonic bomber capable of delivering both nuclear and conventional weapons. Despite its age, it remains a key component of U.S. strategic deterrence.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/B-52_over_Afghanistan.JPG/960px-B-52_over_Afghanistan.JPG
A9,P-3C,USA,Maritime Patrol,1962,750 km/h,8900 km,11,120,"P-3 Orion is a maritime patrol aircraft designed for anti-submarine warfare, reconnaissance, and surveillance missions over oceans.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ken_H._IMG_7106_1600_%288979463266%29.jpg/960px-Ken_H._IMG_7106_1600_%288979463266%29.jpg
A10,B-1B,USA,Bomber,1986,Mach 1.25,9400 km,4,45,"B-1B Lancer is a supersonic variable-sweep wing bomber optimized for low-altitude penetration and high payload delivery.",https://upload.wikimedia.org/wikipedia/commons/4/4a/B-1B_over_the_pacific_ocean.jpg
